   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      124    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.160    0.160  559.459  559.459 <ipython-input-46-307f37e802ea>:1(train)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        8    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:277(DibImageFile)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:60(BmpImageFile)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:50(GifImageFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:104(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:20(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:66(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:17(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:22(GimpPaletteFile)
        1    0.000    0.000    0.022    0.022 Image.py:2095(save)
        2    0.000    0.000    0.000    0.000 Image.py:2588(_check_size)
        1    0.000    0.000    0.002    0.002 Image.py:2606(new)
        1    0.000    0.000    0.002    0.002 Image.py:2683(frombuffer)
        7    0.000    0.000    0.000    0.000 Image.py:3075(register_open)
        7    0.000    0.000    0.000    0.000 Image.py:3090(register_mime)
        7    0.000    0.000    0.000    0.000 Image.py:3101(register_save)
        3    0.000    0.000    0.000    0.000 Image.py:3112(register_save_all)
       15    0.000    0.000    0.000    0.000 Image.py:3124(register_extension)
        4    0.000    0.000    0.000    0.000 Image.py:3135(register_extensions)
        1    0.000    0.000    0.011    0.011 Image.py:336(preinit)
        1    0.000    0.000    0.000    0.000 Image.py:431(_getencoder)
        3    0.000    0.000    0.000    0.000 Image.py:519(__init__)
        4    0.000    0.000    0.000    0.000 Image.py:551(size)
        2    0.000    0.000    0.000    0.000 Image.py:555(_new)
        1    0.000    0.000    0.001    0.001 Image.py:611(_copy)
        1    0.000    0.000    0.001    0.001 Image.py:617(_ensure_mutable)
        2    0.000    0.000    0.000    0.000 Image.py:804(load)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:313(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:339(Parser)
        1    0.000    0.000    0.009    0.009 ImageFile.py:478(_save)
        1    0.000    0.000    0.000    0.000 ImageFile.py:572(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:583(PyDecoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:79(_tilesort)
        1    0.000    0.000    0.000    0.000 ImageFile.py:89(ImageFile)
        1    0.000    0.000    0.007    0.007 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:24(ImagePalette)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(Iterator)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:338(JpegImageFile)
        1    0.000    0.000    0.004    0.004 JpegImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 JpegPresets.py:72(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:19(PaletteFile)
        5    0.000    0.000    0.001    0.000 PngImagePlugin.py:1011(putchunk)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1022(_idat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1025(__init__)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1029(write)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1033(_fdat)
        1    0.000    0.000    0.010    0.010 PngImagePlugin.py:1178(_save)
       10    0.000    0.000    0.001    0.000 PngImagePlugin.py:137(_crc32)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:145(ChunkStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:237(iTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:259(PngInfo)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:265(__init__)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:268(add)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:311(add_text)
        1    0.000    0.000    0.014    0.014 PngImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:343(PngStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:668(PngImageFile)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:18(<module>)
